ID,代码,名称,策略类型,参数,总收益%,年化收益%,最大回撤%,夏普比率,最终权益,胜率%,总交易,盈利,亏损,盈亏比,K线数,数据起始,数据结束,回测时间
147,688525.SH,佰维存储,macd,"MACD(12,26,9)",1247.03,117.02,48.98,1.61,134703.0,57.1,28,16,12,3.57,808,2022-12-30,2026-05-08,2026-05-09 23:13:13.462942
146,688525.SH,佰维存储,ma_cross,"MA(5,20)",584.44,77.38,49.52,1.27,68444.0,59.1,22,13,9,3.6,808,2022-12-30,2026-05-08,2026-05-09 23:13:13.213519
141,688498.SH,源杰科技,ma_cross,"MA(5,20)",396.0,60.59,67.09,1.09,49600.0,43.5,23,10,13,4.31,815,2022-12-21,2026-05-08,2026-05-09 23:13:12.071566
156,688347.SH,华虹公司,ma_cross,"MA(5,20)",226.4,53.67,31.07,1.17,32640.0,40.0,20,8,12,2.92,654,2023-08-07,2026-05-08,2026-05-09 23:13:15.535566
71,300274.SZ,阳光电源,ma_cross,"MA(5,20)",2619.16,49.1,52.92,1.12,271916.0,38.9,54,21,33,2.09,2000,2018-02-01,2026-05-08,2026-05-09 23:12:42.173663
118,688041.SH,海光信息,kdj,"KDJ(9,3,3)",278.25,42.72,49.59,1.03,37825.0,100.0,2,2,0,0.0,892,2022-08-12,2026-05-08,2026-05-09 23:13:03.339578
111,688256.SH,寒武纪,ma_cross,"MA(5,20)",567.97,38.72,60.63,0.88,66797.0,38.9,36,14,22,3.13,1405,2020-07-20,2026-05-08,2026-05-09 23:13:01.073315
158,688347.SH,华虹公司,kdj,"KDJ(9,3,3)",127.48,34.78,39.58,0.87,22748.0,100.0,2,2,0,0.0,654,2023-08-07,2026-05-08,2026-05-09 23:13:15.990106
128,688008.SH,澜起科技,kdj,"KDJ(9,3,3)",617.06,33.6,43.56,0.89,71706.0,100.0,4,4,0,0.0,1646,2019-07-22,2026-05-08,2026-05-09 23:13:06.896417
137,688521.SH,芯原股份,macd,"MACD(12,26,9)",393.99,32.19,38.43,0.82,49399.0,36.5,52,19,33,2.02,1374,2020-08-18,2026-05-08,2026-05-09 23:13:10.794452
113,688256.SH,寒武纪,kdj,"KDJ(9,3,3)",398.98,31.92,78.41,0.78,49898.0,100.0,4,4,0,0.0,1405,2020-07-20,2026-05-08,2026-05-09 23:13:01.799775
152,688072.SH,拓荆科技,macd,"MACD(12,26,9)",192.28,30.3,35.29,0.82,29228.0,44.4,36,16,20,1.7,980,2022-04-20,2026-05-08,2026-05-09 23:13:14.581953
148,688525.SH,佰维存储,kdj,"KDJ(9,3,3)",142.41,30.19,66.77,0.77,24241.0,100.0,3,3,0,0.0,808,2022-12-30,2026-05-08,2026-05-09 23:13:13.636292
145,688498.SH,源杰科技,grid,GRID(10),142.55,29.96,55.36,0.74,24255.0,100.0,34,34,0,0.0,815,2022-12-21,2026-05-08,2026-05-09 23:13:12.825181
136,688521.SH,芯原股份,ma_cross,"MA(5,20)",339.63,29.53,54.79,0.78,43963.0,39.5,38,15,23,2.36,1374,2020-08-18,2026-05-08,2026-05-09 23:13:10.433989
157,688347.SH,华虹公司,macd,"MACD(12,26,9)",95.38,27.54,30.61,0.78,19538.0,34.8,23,8,15,1.75,654,2023-08-07,2026-05-08,2026-05-09 23:13:15.803803
81,300308.SZ,中际旭创,ma_cross,"MA(5,20)",619.25,26.95,56.13,0.78,71925.0,38.6,57,22,35,2.88,2000,2018-02-01,2026-05-08,2026-05-09 23:12:46.887970
132,688012.SH,中微公司,macd,"MACD(12,26,9)",371.94,25.63,56.32,0.75,47194.0,40.3,62,25,37,1.78,1637,2019-07-22,2026-05-08,2026-05-09 23:13:08.730610
103,002463.SZ,沪电股份,kdj,"KDJ(9,3,3)",531.37,24.96,64.76,0.81,63137.0,100.0,6,6,0,0.0,2000,2018-02-01,2026-05-08,2026-05-09 23:12:57.279104
32,300750.SZ,宁德时代,macd,"MACD(12,26,9)",414.29,22.99,50.39,0.79,51429.0,37.0,73,27,46,1.51,1917,2018-06-11,2026-05-08,2026-05-09 23:12:25.987185
86,300502.SZ,新易盛,ma_cross,"MA(5,20)",452.28,22.96,66.55,0.68,55228.0,35.5,62,22,40,1.76,2000,2018-02-01,2026-05-08,2026-05-09 23:12:48.882096
76,002384.SZ,东山精密,ma_cross,"MA(5,20)",462.75,22.42,63.55,0.73,56275.0,43.1,58,25,33,2.99,2000,2017-10-25,2026-05-08,2026-05-09 23:12:44.321041
114,688256.SH,寒武纪,bollinger,"BOLL(20,2)",220.61,22.24,53.59,0.74,32061.0,100.0,17,17,0,0.0,1405,2020-07-20,2026-05-08,2026-05-09 23:13:02.158308
87,300502.SZ,新易盛,macd,"MACD(12,26,9)",375.35,20.75,75.61,0.65,47535.0,40.3,77,31,46,1.41,2000,2018-02-01,2026-05-08,2026-05-09 23:12:49.354734
153,688072.SH,拓荆科技,kdj,"KDJ(9,3,3)",109.71,20.05,77.23,0.62,20971.0,100.0,1,1,0,0.0,980,2022-04-20,2026-05-08,2026-05-09 23:13:14.791728
50,688551.SH,科威尔,grid,GRID(10),180.11,19.96,56.6,0.66,28011.0,97.5,118,115,3,711.21,1367,2020-09-10,2026-05-08,2026-05-09 23:12:32.483440
89,300502.SZ,新易盛,bollinger,"BOLL(20,2)",344.91,19.79,51.15,0.68,44491.0,100.0,21,21,0,0.0,2000,2018-02-01,2026-05-08,2026-05-09 23:12:50.374703
88,300502.SZ,新易盛,kdj,"KDJ(9,3,3)",343.78,19.75,55.93,0.69,44378.0,100.0,7,7,0,0.0,2000,2018-02-01,2026-05-08,2026-05-09 23:12:49.899856
